"id","ranget","rangetm"
"i7","1992",0
"i7","1997",0
"i7","2006",0
"i7","2009",0
"i7","2014",0
"i9","2008",0
"i9","2010",0
"i9","2012",0
"i12","2010",0
"i12","2012",0
"i13","2010",0
"i13","2012",0
"i14","2010",0
"i14","2012",0
"i15","2010",0
"i15","2012",0
"i16","2010",0
"i16","2012",0
"i17","1995",6
"i17","1996",6
"i17","1997",6
"i17","1998",6
"i17","1999",6
"i17","2000",6
"i17","2001",6
"i17","2002",6
"i17","2003",6
"i17","2004",6
"i17","2005",6
"i17","2006",6
"i17","2007",6
"i17","2008",6
"i17","2009",6
"i17","2010",6
"i17","2011",6
"i17","2012",6
"i17","2013",6
"i17","2014",6
"i17","1995",12
"i17","1996",12
"i17","1997",12
"i17","1998",12
"i17","1999",12
"i17","2000",12
"i17","2001",12
"i17","2002",12
"i17","2003",12
"i17","2004",12
"i17","2005",12
"i17","2006",12
"i17","2007",12
"i17","2008",12
"i17","2009",12
"i17","2010",12
"i17","2011",12
"i17","2012",12
"i17","2013",12
"i17","2014",12
"i18","2000",0
"i18","2001",0
"i18","2002",0
"i18","2003",0
"i18","2004",0
"i18","2005",0
"i18","2006",0
"i18","2007",0
"i18","2008",0
"i18","2009",0
"i18","2010",0
"i18","2011",0
"i18","2012",0
"i18","2013",0
"i18","2014",0
"i19","2000",0
"i19","2001",0
"i19","2002",0
"i19","2003",0
"i19","2004",0
"i19","2005",0
"i19","2006",0
"i19","2007",0
"i19","2008",0
"i19","2009",0
"i19","2010",0
"i19","2011",0
"i19","2012",0
"i19","2013",0
"i19","2014",0
"i45","2010",0
"i45","2011",0
"i45","2012",0
"i45","2013",0
"i45","2014",0
"i46","2005",0
"i46","2007",0
"i46","2009",0
"i46","2010",0
"i46","2011",0
"i46","2012",0
"i46","2015",0
"i47","2004",0
"i47","2005",0
"i47","2006",0
"i47","2009",0
"i47","2010",0
"i47","2011",0
"i47","2012",0
"i47","2013",0
"i47","2014",0
"i48","2014",0
"i48","2013",0
"i48","2012",0
"i48","2011",0
"i48","2010",0
"i48","2009",0
"i48","2008",0
"i48","2007",0
"i48","2006",0
"i48","2005",0
"i49","2012",0
"i49","2010",0
"i49","2008",0
"i49","2006",0
"i50","2012",0
"i51","2008",0
"i51","2010",0
"i111","2014",0
"i127","1995",0
"i127","1996",0
"i127","1997",0
"i127","1998",0
"i127","1999",0
"i127","2000",0
"i127","2001",0
"i127","2002",0
"i127","2003",0
"i127","2004",0
"i127","2005",0
"i127","2006",0
"i127","2007",0
"i127","2008",0
"i127","2009",0
"i127","2010",0
"i127","2011",0
"i127","2012",0
"i127","2013",0
"i127","2014",0
"i129","1996",0
"i129","1997",0
"i129","1998",0
"i129","1999",0
"i129","2000",0
"i129","2001",0
"i129","2002",0
"i129","2003",0
"i129","2004",0
"i129","2005",0
"i129","2006",0
"i129","2007",0
"i129","2008",0
"i129","2009",0
"i129","2010",0
"i129","2011",0
"i129","2012",0
"i129","2013",0
"i129","2014",0
"i130","1998",0
"i130","1999",0
"i130","2000",0
"i130","2001",0
"i130","2002",0
"i130","2003",0
"i130","2004",0
"i130","2005",0
"i130","2006",0
"i130","2007",0
"i130","2008",0
"i130","2009",0
"i130","2010",0
"i130","2011",0
"i130","2012",0
"i130","2013",0
"i130","2014",0
"i131","1995",0
"i131","1996",0
"i131","1997",0
"i131","1998",0
"i131","1999",0
"i131","2000",0
"i131","2001",0
"i131","2002",0
"i131","2003",0
"i131","2004",0
"i131","2005",0
"i131","2006",0
"i131","2007",0
"i131","2008",0
"i131","2009",0
"i131","2010",0
"i131","2011",0
"i131","2012",0
"i131","2013",0
"i131","2014",0
"i132","1995",0
"i132","1996",0
"i132","1997",0
"i132","1998",0
"i132","1999",0
"i132","2000",0
"i132","2001",0
"i132","2002",0
"i132","2003",0
"i132","2004",0
"i132","2005",0
"i132","2006",0
"i132","2007",0
"i132","2008",0
"i132","2009",0
"i132","2010",0
"i132","2011",0
"i132","2012",0
"i132","2013",0
"i132","2014",0
"i133","1995",0
"i133","1996",0
"i133","1997",0
"i133","1998",0
"i133","1999",0
"i133","2000",0
"i133","2001",0
"i133","2002",0
"i133","2003",0
"i133","2004",0
"i133","2005",0
"i133","2006",0
"i133","2007",0
"i133","2008",0
"i133","2009",0
"i133","2010",0
"i133","2011",0
"i133","2012",0
"i133","2013",0
"i133","2014",0
"i135","2007",0
"i135","2009",0
"i135","2011",0
"i135","2013",0
"i108","2009",0
"i108","2010",0
"i108","2011",0
"i108","2012",0
"i108","2013",0
"i97","2010",0
"i96","2000",0
"i96","2005",0
"i96","2010",0
"i96","2013",0
"i95","2010",0
"i95","2015",0
"i90","      2014",0
"i90","    2014",0
"i90","   2014",0
"i88","2002",0
"i88","2004",0
"i88","2005",0
"i88","2006",0
"i88","2008",0
"i88","2010",0
"i88","2012",0
"i86","2008",0
"i86","2010",0
"i86","2012",0
"i84","1990",0
"i84","1991",0
"i84","1992",0
"i84","1993",0
"i84","1994",0
"i84","1995",0
"i84","1996",0
"i84","1997",0
"i84","1998",0
"i84","1999",0
"i84","2000",0
"i84","2001",0
"i84","2002",0
"i84","2003",0
"i84","2004",0
"i84","2005",0
"i84","2006",0
"i84","2007",0
"i84","2008",0
"i84","2009",0
"i84","2010",0
"i84","2011",0
"i84","2012",0
"i84","2013",0
"i83","1990",0
"i83","1991",0
"i83","1992",0
"i83","1993",0
"i83","1994",0
"i83","1995",0
